on 0: Entering translator loop...
on 329: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 330: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 11}
on 331: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 11}
on 332: {'channel': 204, 'bx': 1005, 'tdc': 11, 'link': 11}
on 333: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 11}
on 334: {'channel': 204, 'bx': 1005, 'tdc': 11, 'link': 9}
on 335: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 336: {'channel': 31, 'bx': 1005, 'tdc': 17, 'link': 9}
on 337: {'channel': 155, 'bx': 1005, 'tdc': 14, 'link': 9}
on 338: {'channel': 35, 'bx': 1005, 'tdc': 15, 'link': 9}
on 339: {'channel': 159, 'bx': 1005, 'tdc': 11, 'link': 9}
on 340: {'channel': 39, 'bx': 1005, 'tdc': 15, 'link': 9}
on 341: {'channel': 123, 'bx': 1005, 'tdc': 15, 'link': 9}
on 342: {'channel': 3, 'bx': 1005, 'tdc': 14, 'link': 9}
on 343: {'channel': 127, 'bx': 1005, 'tdc': 15, 'link': 9}
on 344: {'channel': 7, 'bx': 1005, 'tdc': 16, 'link': 9}
on 345: {'channel': 131, 'bx': 1005, 'tdc': 15, 'link': 9}
on 346: {'channel': 11, 'bx': 1005, 'tdc': 14, 'link': 9}
on 347: {'channel': 135, 'bx': 1005, 'tdc': 12, 'link': 9}
on 348: {'channel': 15, 'bx': 1005, 'tdc': 11, 'link': 9}
on 349: {'channel': 139, 'bx': 1005, 'tdc': 14, 'link': 9}
on 350: {'channel': 204, 'bx': 1005, 'tdc': 11, 'link': 10}
on 351: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 352: {'channel': 31, 'bx': 1005, 'tdc': 17, 'link': 10}
on 353: {'channel': 155, 'bx': 1005, 'tdc': 14, 'link': 10}
on 354: {'channel': 35, 'bx': 1005, 'tdc': 15, 'link': 10}
on 355: {'channel': 159, 'bx': 1005, 'tdc': 11, 'link': 10}
on 356: {'channel': 39, 'bx': 1005, 'tdc': 15, 'link': 10}
on 357: {'channel': 123, 'bx': 1005, 'tdc': 15, 'link': 10}
on 358: {'channel': 3, 'bx': 1005, 'tdc': 14, 'link': 10}
on 359: {'channel': 127, 'bx': 1005, 'tdc': 15, 'link': 10}
on 360: {'channel': 7, 'bx': 1005, 'tdc': 16, 'link': 10}
on 361: {'channel': 131, 'bx': 1005, 'tdc': 15, 'link': 10}
on 362: {'channel': 11, 'bx': 1005, 'tdc': 14, 'link': 10}
on 363: {'channel': 135, 'bx': 1005, 'tdc': 12, 'link': 10}
on 364: {'channel': 15, 'bx': 1005, 'tdc': 11, 'link': 10}
on 365: {'channel': 139, 'bx': 1005, 'tdc': 14, 'link': 10}
